chrom	chromStart	chromEnd	id	st.recomb	st.diversity	st.bkgd	bp.simpleRepeat	bp.rmskRM327	bp.phastConsElements46wayPlacMammal	bp.allSoftRegions	perc.simpleRepeat	perc.rmskRM327	perc.phastConsElements46wayPlacMammal	perc.allSoftRegions
chr1	2776125	2806106	chr1.3	NA	0.00127693200141304	0.95019445648911	1193	2867	1035	4654	3.98	9.56	3.45	15.52
chr1	2847488	2848035	chr1.4	NA	0.00280356291262136	0.969	0	0	18	18	0	0	3.29	3.29
chr1	2848568	2850602	chr1.5	NA	0.00183269724961079	0.969	409	157	24	590	20.11	7.72	1.18	29.01
chr1	2851167	2855221	chr1.6	NA	0.00146151988636364	0.968408238776517	39	901	43	944	0.96	22.22	1.06	23.29
chr1	2855355	2857025	chr1.7	NA	0.00012363347509113	0.968	0	131	0	131	0	7.84	0	7.84
chr1	2857159	2859003	chr1.8	NA	0.000559299403470716	0.967151843817787	0	1062	0	1062	0	57.59	0	57.59
chr1	2859160	2866089	chr1.10	NA	0.00168246158900836	0.962316207244913	619	1622	485	2207	8.93	23.41	7	31.85
chr1	2866629	2876558	chr1.12	NA	0.00137168638624414	0.968809648504381	161	6212	103	6277	1.62	62.56	1.04	63.22
chr1	2876831	2877310	chr1.13	NA	0.000591163667820069	0.97	199	0	0	199	41.54	0	0	41.54
chr1	2877476	2891254	chr1.15	NA	0.00152489143452226	0.977024531862389	1036	2745	579	3736	7.52	19.92	4.2	27.12
chr1	2891343	2892793	chr1.17	NA	0.000336065798611111	0.981	12	182	315	509	0.83	12.55	21.72	35.1
chr1	2894919	2901454	chr1.18	NA	0.00139571484716157	0.980400306044376	235	1219	340	1612	3.6	18.65	5.2	24.67
chr1	2902060	2911317	chr1.19	NA	0.00140932388544018	0.976955493140326	967	4853	311	5219	10.45	52.43	3.36	56.38
chr1	2912034	2922640	chr1.20	NA	0.00335691027574099	0.975	422	6167	85	6478	3.98	58.15	0.8	61.08
chr1	2923304	2932958	chr1.22	NA	0.00140888799298861	0.973507458048477	529	4544	191	4772	5.48	47.07	1.98	49.43
chr1	2933116	2934050	chr1.23	NA	0.00344764228769497	0.975	137	189	52	241	14.67	20.24	5.57	25.8
chr1	2934588	2937218	chr1.24	NA	0.00202334250691973	0.975	164	30	0	194	6.24	1.14	0	7.38
chr1	2939467	2942134	chr1.26	NA	0.000895318570254724	0.975	0	1482	0	1482	0	55.57	0	55.57
chr1	2943124	2945614	chr1.27	NA	0.0011898190144119	0.975	0	0	0	0	0	0	0	0
chr1	2946064	2949643	chr1.29	NA	0.00161244175008072	0.975	0	0	179	179	0	0	5	5
chr1	2950398	2974136	chr1.31	NA	0.00104203477971992	0.974892872188053	1634	12865	260	13456	6.88	54.2	1.1	56.69
chr1	2974499	2975856	chr1.32	NA	0.000735331025854879	0.969017686072218	0	1072	0	1072	0	79	0	79
chr1	3833879	3834204	chr1.39	2.30542714184428	0.000569055414012739	0.976	0	304	0	304	0	93.54	0	93.54
chr1	3834624	3845268	chr1.40	2.78820491575236	0.00105078869069739	0.980993047726419	1446	5019	71	5294	13.59	47.15	0.67	49.74
chr1	3995268	4000624	chr1.41	48.0038802892182	0.00120078927272727	-1	77	3980	0	3980	1.44	74.31	0	74.31
chr1	4015322	4036199	chr1.42	119.827769485829	0.00153911672510303	0.989764669253245	672	11884	298	12777	3.22	56.92	1.43	61.2
chr1	4056992	4058263	chr1.43	2.07143390769141	0.00092261495601173	0.994	243	912	0	973	19.12	71.75	0	76.55
chr1	4058915	4059826	chr1.47	3.08547949148753	0.000292168421052632	0.994	221	308	0	529	24.26	33.81	0	58.07
chr1	4059953	4067763	chr1.48	5.6962250779965	0.00232423633236785	0.994	464	2990	0	3062	5.94	38.28	0	39.21
chr1	4068582	4071161	chr1.53	9.1947696093551	0.00236095485074627	0.994	165	1099	0	1264	6.4	42.61	0	49.01
chr1	4071924	4082175	chr1.55	12.1970737416982	0.00163895091091846	0.994	425	6395	0	6478	4.15	62.38	0	63.19
chr1	4082542	4086626	chr1.56	4.56892582140887	0.00120257439274217	0.994	438	1934	111	2045	10.72	47.36	2.72	50.07
chr1	4087175	4088046	chr1.57	2.11730819990643	0.00128083528037383	0.994	0	0	59	59	0	0	6.77	6.77
