chr	start	end	length	rec	bgs
chr7	305551	306696	1145	-1.0	74.0
chr7	307061	307424	363	-1.0	0.0
chr7	308557	309488	931	-1.0	256.0
chr7	309614	318237	8623	-1.0	6490.0
chr7	319056	320539	1483	-1.0	944.0
chr7	320788	330135	9347	-1.0	3808.0
chr7	334388	336744	2356	-1.0	373.0
chr7	337409	338232	823	-1.0	0.0
chr7	338627	340415	1788	-1.0	0.0
chr7	340715	343626	2911	-1.0	1283.0
chr7	343716	361529	17813	-1.0	10986.0
chr7	361934	370921	8987	-1.0	4582.0
chr7	372176	372681	505	-1.0	0.0
chr7	373169	373693	524	-1.0	28.0
chr7	374069	376248	2179	-1.0	1053.0
chr7	377010	377656	646	-1.0	57.0
chr7	382060	383601	1541	-1.0	0.0
chr7	384183	388807	4624	-1.0	1070.0
chr7	389721	390152	431	-1.0	119.0
chr7	391391	393070	1679	-1.0	217.0
chr7	393370	410658	17288	-1.0	7585.0
chr7	411197	419195	7998	-1.0	1257.0
chr7	422845	442566	19721	-1.0	11669.0
chr7	499623	502868	3245	-1.0	442.0
chr7	503915	515181	11266	-1.0	5473.0
chr7	515778	522596	6818	0.978504546788	3116.0
chr7	564870	567215	2345	0.982	765.0
chr7	567590	568924	1334	0.982	1132.0
chr7	569632	571208	1576	0.982	574.0
chr7	571468	573031	1563	0.982	255.0
chr7	573546	573961	415	0.982	214.0
chr7	574435	576050	1615	0.982	976.0
chr7	576843	581340	4497	0.982	910.0
chr7	582611	582951	340	0.982	0.0
chr7	585204	588824	3620	0.982	2950.0
chr7	1689947	1703806	13859	0.958614330038	8260.0
chr7	1710491	1717762	7271	0.964	1029.0
chr7	1718199	1729973	11774	0.964	8120.0
chr7	1730596	1731541	945	0.964	341.0
chr7	1732086	1732445	359	0.964	76.0
chr7	1733961	1734858	897	0.964	0.0
chr7	1735383	1743339	7956	0.963901709402	5814.0
chr7	1743557	1748723	5166	0.963	999.0
chr7	1787590	1797655	10065	0.953622652757	5523.0
chr7	2910420	2913750	3330	0.958	1116.0
chr7	2914070	2916850	2780	0.958	1514.0
chr7	2917084	2935313	18229	0.966472543749	9846.0
chr7	2935777	2944473	8696	0.97	4684.0
chr7	3083606	3088949	5343	0.988	3609.0
chr7	3089311	3090714	1403	0.988	1000.0
chr7	3090715	3104834	14119	0.988	9826.0
chr7	3119039	3120665	1626	0.985538130381	1411.0
chr7	3121214	3122885	1671	0.980644524237	917.0
chr7	3139601	3152602	13001	0.98720152296	6836.0
chr7	3153164	3159690	6526	0.988	2702.0
chr7	3234771	3236257	1486	0.982	977.0
chr7	3237888	3243815	5927	0.982	4450.0
chr7	3244377	3250541	6164	0.982	4243.0
chr7	3254424	3277098	22674	0.981236702831	16469.0
chr7	8953456	8991890	38434	0.973016808035	18385.0
chr7	8994434	8999080	4646	0.973776151528	1801.0
chr7	8999737	9021159	21422	0.981325413127	7097.0
chr7	9021470	9031601	10131	0.985287632021	5414.0
chr7	9031949	9073648	41699	0.983584570373	21106.0
chr7	9281507	9286936	5429	0.991681709339	2855.0
chr7	9299718	9325921	26203	0.979533717513	10739.0
chr7	9338589	9373811	35222	0.983346289251	15336.0
chr7	9374066	9376830	2764	0.992027496382	763.0
chr7	9377085	9443480	66395	0.990733488968	43599.0
chr7	9627157	9634308	7151	0.977953712767	5588.0
chr7	10114595	10115983	1388	0.988	0.0
chr7	10116214	10121133	4919	0.988	3423.0
chr7	10121507	10124902	3395	0.988	569.0
chr7	10136458	10154689	18231	0.969712906588	6502.0
chr7	10154965	10158277	3312	0.963828502415	1579.0
chr7	10158823	10160949	2126	0.951866886171	550.0
chr7	10344823	10371530	26707	0.96631594713	10055.0
chr7	10448592	10488613	40021	0.957320306839	23550.0
chr7	12883550	12909668	26118	0.962428018991	14083.0
chr7	12919512	12943311	23799	0.971547165847	7160.0
chr7	12951014	12975214	24200	0.974149338843	6684.0
chr7	15806829	15815974	9145	0.958047676326	7562.0
chr7	15816063	15816715	652	0.963	301.0
chr7	15817085	15843473	26388	0.956806995604	16609.0
chr7	25477333	25506115	28782	0.953457369189	21071.0
chr7	36784582	36787319	2737	0.950968578736	497.0
chr7	36787512	36790291	2779	0.951577905721	886.0
chr7	37489049	37510853	21804	0.962183865346	9856.0
chr7	38166514	38182531	16017	0.952742148967	11751.0
chr7	40937088	41004276	67188	0.967300113115	42041.0
chr7	41118215	41141201	22986	0.96948825372	11695.0
chr7	41290257	41309286	19029	0.966280519208	8530.0
chr7	41309952	41311287	1335	0.954448689139	518.0
chr7	41311976	41406597	94621	0.955891778781	40053.0
chr7	41407073	41415684	8611	0.953437347579	2823.0
chr7	41415973	41420498	4525	0.969077127072	1264.0
chr7	42497758	42518712	20954	0.952511883173	6865.0
chr7	45358655	45431123	72468	0.950570127505	52890.0
chr7	46102170	46113770	11600	0.957952413793	7751.0
chr7	46175187	46247324	72137	0.966452500104	28967.0
chr7	46266613	46283009	16396	0.972225786777	14056.0
chr7	46521176	46562137	40961	0.976	25451.0
chr7	46562837	46588168	25331	0.973034542655	17903.0
chr7	46675349	46689208	13859	0.976	8887.0
chr7	46689629	46713414	23785	0.976	14040.0
chr7	46812553	46813909	1356	0.976	374.0
chr7	46814437	46814682	245	0.976	0.0
chr7	46815383	46820970	5587	0.976	4502.0
chr7	46904675	46930222	25547	0.972978118761	15302.0
chr7	47191510	47225577	34067	0.973077758535	20048.0
chr7	47226101	47229404	3303	0.97	1294.0
chr7	47229938	47242594	12656	0.97	4808.0
chr7	47243009	47254418	11409	0.96772179858	5957.0
chr7	47254728	47283652	28924	0.958411768773	12933.0
chr7	47622156	47622363	207	0.969	112.0
chr7	47622991	47629093	6102	0.97	2793.0
chr7	47635056	47646082	11026	0.97	8098.0
chr7	47646427	47646716	289	0.97	239.0
chr7	47646724	47652558	5834	0.97	2465.0
chr7	47701246	47703137	1891	0.97	698.0
chr7	47703975	47709965	5990	0.969992153589	2284.0
chr7	47710321	47728941	18620	0.965936466165	13081.0
chr7	47773831	47784294	10463	0.958	5317.0
chr7	47788420	47795195	6775	0.952	4305.0
chr7	47795612	47799597	3985	0.952	891.0
chr7	47806370	47808318	1948	0.952	1882.0
chr7	49058171	49120755	62584	0.952832768759	32331.0
chr7	49121101	49165331	44230	0.960299412164	26783.0
chr7	49166945	49173422	6477	0.96062930369	1382.0
chr7	49228840	49269732	40892	0.967820013695	22506.0
chr7	49589188	49677788	88600	0.969802765237	54760.0
chr7	49727270	49801800	74530	0.956120850664	39661.0
chr7	50890038	50896390	6352	0.95211209068	3561.0
chr7	50896788	50899236	2448	0.958	1693.0
chr7	50899567	50907059	7492	0.957789909237	2258.0
chr7	51841948	51850894	8946	0.979822155153	3310.0
chr7	51853814	51862102	8288	0.981	7791.0
chr7	51862548	51928579	66031	0.962799684996	37255.0
chr7	51929097	51970976	41879	0.976572363237	19825.0
chr7	52034788	52094155	59367	0.980489228022	29318.0
chr7	52142998	52182177	39179	0.983979325659	23050.0
chr7	52965169	53043658	78489	0.98629736651	47980.0
chr7	53104623	53117065	12442	0.982	7247.0
chr7	53169130	53189308	20178	0.98121726633	10657.0
chr7	53239490	53254830	15340	0.981	11775.0
chr7	53653582	53679898	26316	0.974369585043	14294.0
chr7	54958365	55001212	42847	0.956994375335	27127.0
chr7	79103627	79133389	29762	0.954716719306	18141.0
chr7	79133652	79162971	29319	0.971611548825	14192.0
chr7	79163487	79165261	1774	0.972622886133	0.0
chr7	79165798	79180370	14572	0.971148915729	5932.0
chr7	79581098	79611075	29977	0.961930746906	14106.0
chr7	79611761	79628771	17010	0.966377189888	7699.0
chr7	79629436	79636681	7245	0.957229951691	4390.0
chr7	79726543	79736620	10077	0.958728391386	6318.0
chr7	79742917	79762936	20019	0.953895149608	12105.0
chr7	80578275	80602381	24106	0.96149025139	11271.0
chr7	80602742	80603315	573	0.966495636998	34.0
chr7	80604036	80637456	33420	0.967924057451	16076.0
chr7	80731892	80761603	29711	0.959412473495	13558.0
chr7	80840908	80863845	22937	0.960282730959	14137.0
chr7	80904914	80912967	8053	0.958919408916	5545.0
chr7	80913598	80965229	51631	0.960563982879	21718.0
chr7	80966023	81058728	92705	0.960963669705	41240.0
chr7	81059157	81061810	2653	0.95572182435	1562.0
chr7	81062005	81063264	1259	0.957	182.0
chr7	81063459	81071929	8470	0.954597756789	4540.0
chr7	81072090	81094731	22641	0.951511196502	12760.0
chr7	109238456	109283351	44895	0.956389241564	23246.0
chr7	109283352	109296924	13572	0.957426760978	10999.0
chr7	109912693	109917645	4952	0.953273626817	2014.0
chr7	131255182	131264861	9679	0.951913317491	5693.0
chr7	131278384	131296832	18448	0.953964928448	9193.0
chr7	131297211	131298803	1592	0.958	1017.0
chr7	131299076	131305427	6351	0.961225003936	4005.0
chr7	131306093	131337972	31879	0.961596756485	14839.0
chr7	131478258	131504919	26661	0.953649638048	11683.0
chr7	131633712	131644036	10324	0.953268113134	4117.0
chr7	144708356	144713418	5062	0.977516989332	1687.0
chr7	144789935	144857819	67884	0.972636747982	33462.0
chr7	144858435	144882556	24121	0.974650346171	8576.0
chr7	144921583	145122509	200926	0.961886231747	123484.0
chr7	145123245	145153469	30224	0.974848994177	12448.0
chr7	145154025	145167046	13021	0.983653636433	5403.0
chr7	145167509	145192684	25175	0.98275857001	15467.0
